,date,user,change_amt
0,"11:51, 8 June 2020",Twotoque,+30
1,"14:14, 22 September 2017",72.221.112.252,0
2,"16:15, 2 October 2015",Whitepanda123121,
3,"04:12, 7 May 2013",Abductive,+27
4,"03:39, 8 May 2011",Gunnnut,+3
5,"03:38, 8 May 2011",Gunnnut,
6,"00:24, 26 October 2009",70.48.125.236,−4
7,"00:20, 26 October 2009",70.48.125.236,+1
8,"00:19, 26 October 2009",70.48.125.236,+31
9,"00:17, 26 October 2009",70.48.125.236,−3
10,"15:49, 16 September 2008",72.89.176.86,+33
11,"01:36, 16 September 2008",CommonsDelinker,−28
12,"00:56, 16 September 2008",Good Olfactory,−4
13,"02:40, 4 April 2008",ImageRemovalBot,−19
14,"21:23, 6 October 2007",68.89.40.185,+29
15,"19:44, 6 July 2007",Soleil288,−185
16,"16:50, 6 July 2007",Lugnuts,+43
17,"15:30, 17 April 2007",ElKevbo,−229
18,"13:13, 17 April 2007",207.96.202.70,+229
19,"13:02, 17 April 2007",ElKevbo,−109
20,"13:01, 17 April 2007",207.96.202.70,+7
21,"12:59, 17 April 2007",207.96.202.70,+4
22,"12:57, 17 April 2007",207.96.202.70,+9
23,"12:55, 17 April 2007",207.96.202.70,+89
24,"01:21, 17 April 2007",Warren,−240
25,"01:19, 17 April 2007",64.231.238.203,−1
26,"01:19, 17 April 2007",64.231.238.203,+241
27,"00:03, 17 April 2007",67.71.124.254,+2
28,"12:28, 28 February 2007",Qxz,−99
29,"12:28, 28 February 2007",213.94.255.252,+99
30,"23:18, 5 January 2007",Headphonos,+5
31,"20:19, 12 November 2006",J Martin81,
32,"08:13, 4 October 2006",Omicronpersei8,−88
33,"08:05, 4 October 2006",213.215.88.108,+88
34,"00:01, 26 September 2006",RoyBoy,+15
35,"21:30, 21 September 2006",Lisasmall,+116
36,"17:32, 21 September 2006",Leolapinos,+166
37,"07:54, 21 September 2006",Denstat,+101
38,"07:52, 21 September 2006",Denstat,
39,"06:30, 21 September 2006",RoyBoy,+1
40,"06:30, 21 September 2006",RoyBoy,+30
41,"06:27, 21 September 2006",RoyBoy,+15
42,"06:16, 21 September 2006",Liberlogos,+29
43,"05:06, 21 September 2006",Frescard,0
44,"02:47, 21 September 2006",Frescard,+71
45,"02:37, 21 September 2006",Liberlogos,−8
