,date,user,change_amt
0,"07:04, 26 March 2020",Kotkakela,+55
1,"06:58, 26 March 2020",Kotkakela,0
2,"08:04, 18 March 2019",Unknown4321unknown,+44
3,"16:26, 28 October 2017",2600:8800:6900:1480:891b:56c6:37d9:3249,
4,"04:04, 4 October 2015",Callinus,−67
5,"04:03, 4 October 2015",Callinus,
6,"03:59, 4 October 2015",Callinus,
7,"03:57, 4 October 2015",Callinus,−148
8,"03:55, 4 October 2015",Callinus,−1
9,"03:54, 4 October 2015",Callinus,−25
10,"03:53, 4 October 2015",Callinus,
11,"03:50, 4 October 2015",Callinus,+193
12,"03:47, 4 October 2015",Callinus,
13,"03:44, 4 October 2015",Callinus,
14,"19:11, 27 April 2013",Waacstats,−247
15,"05:14, 20 October 2010",Tbhotch,−26
16,"05:14, 20 October 2010",72.87.60.144,+26
17,"05:11, 20 October 2010",Tbhotch,−127
18,"05:11, 20 October 2010",72.87.60.144,+127
19,"05:11, 20 October 2010",Tbhotch,−127
20,"05:10, 20 October 2010",72.87.60.144,+127
21,"05:03, 20 October 2010",Tbhotch,−86
22,"05:01, 20 October 2010",72.87.60.144,+86
23,"15:29, 1 January 2010",Ianmacm,+26
24,"14:31, 1 January 2010",J 1982,+11
25,"00:54, 12 June 2009",Marksdaman,0
26,"00:53, 12 June 2009",Marksdaman,−43
27,"00:01, 24 September 2008",Anonymous44,+154
28,"00:00, 24 September 2008",Anonymous44,+10
29,"14:23, 22 April 2008",89.166.44.246,+80
30,"17:55, 14 January 2008",71.156.90.92,−7
31,"03:38, 21 November 2007",Prolog,−98
32,"00:56, 21 November 2007",88.195.14.243,+12
33,"00:53, 21 November 2007",88.195.14.243,+86
34,"18:56, 13 November 2007",AssegaiAli,+4
35,"18:55, 13 November 2007",AssegaiAli,+45
36,"12:19, 13 November 2007",Peltimikko,+493
37,"08:58, 13 November 2007",HanzoHattori,+4
38,"08:49, 13 November 2007",Prolog,−272
39,"08:25, 13 November 2007",211.30.34.207,+272
40,"08:04, 13 November 2007",193.209.89.50,−272
41,"07:58, 13 November 2007",211.30.34.207,+273
42,"05:17, 13 November 2007",Goodluc turtl e,−1
43,"17:15, 11 November 2007",68.59.120.41,0
44,"17:12, 11 November 2007",88.195.14.243,
45,"17:06, 11 November 2007",Ronja Addams-Moring,
46,"16:39, 11 November 2007",88.195.14.243,
47,"16:35, 11 November 2007",88.195.14.243,+21
48,"15:36, 11 November 2007",88.114.42.60,+1
49,"14:44, 11 November 2007",91.153.248.226,−3
50,"14:18, 11 November 2007",Prolog,−38
51,"14:15, 11 November 2007",JIP,+38
52,"13:59, 11 November 2007",Prolog,
53,"10:40, 11 November 2007",El C,+1
54,"10:38, 11 November 2007",88.114.42.60,
55,"09:49, 11 November 2007",Ronja Addams-Moring,−174
56,"06:55, 11 November 2007",MoRsE,+1
57,"06:53, 11 November 2007",MoRsE,+1
58,"06:52, 11 November 2007",MoRsE,+99
59,"06:48, 11 November 2007",MoRsE,+94
60,"03:16, 11 November 2007",Teggles,−97
61,"03:05, 11 November 2007",Peltimikko,−79
62,"02:49, 11 November 2007",88.195.14.243,+79
63,"01:55, 11 November 2007",Ageekgal,−266
64,"01:38, 11 November 2007",Jiggerdude,+149
65,"01:36, 11 November 2007",Jiggerdude,−2
66,"01:34, 11 November 2007",Jiggerdude,+119
67,"01:20, 11 November 2007",213.202.184.210,+1
68,"01:20, 11 November 2007",213.202.184.210,+53
69,"01:02, 11 November 2007",Pudeo,
70,"00:46, 11 November 2007",80.222.176.152,+4
71,"00:35, 11 November 2007",Threeafterthree,−22
72,"00:30, 11 November 2007",Kitia,
73,"00:14, 11 November 2007",Davidovic,−6
74,"19:13, 10 November 2007",Camptown,+85
75,"19:11, 10 November 2007",Z10x,−2
76,"19:10, 10 November 2007",Z10x,+2
77,"19:10, 10 November 2007",Prolog,
78,"19:00, 10 November 2007",Ronja Addams-Moring,−2
79,"18:51, 10 November 2007",Kitia,+4
80,"18:50, 10 November 2007",Kitia,
81,"18:34, 10 November 2007",Prolog,−24
82,"17:47, 10 November 2007",Kitia,+20
83,"17:09, 10 November 2007",Kitia,+4
84,"17:02, 10 November 2007",Kitia,−101
85,"17:00, 10 November 2007",Bbx,0
86,"16:52, 10 November 2007",83.43.125.43,+103
87,"16:18, 10 November 2007",217.154.84.2,0
88,"15:55, 10 November 2007",Ageekgal,−87
89,"15:26, 10 November 2007",AssegaiAli,−5
90,"15:24, 10 November 2007",AssegaiAli,−108
91,"15:13, 10 November 2007",Davidovic,+2
92,"14:48, 10 November 2007",80.221.119.89,+6
93,"14:47, 10 November 2007",80.221.119.89,+48
94,"14:31, 10 November 2007",Iceshark7,+7
95,"14:05, 10 November 2007",PixelBot,+15
96,"13:49, 10 November 2007",Living Concrete,
97,"13:48, 10 November 2007",213.114.174.171,
98,"12:42, 10 November 2007",Ronja Addams-Moring,−205
99,"11:18, 10 November 2007",Nlitement,+25
100,"09:54, 10 November 2007",84.253.219.96,−9
101,"09:30, 10 November 2007",Ronja Addams-Moring,0
102,"09:28, 10 November 2007",Ronja Addams-Moring,+245
103,"09:22, 10 November 2007",Ronja Addams-Moring,
104,"06:33, 10 November 2007",Peltimikko,+292
105,"06:29, 10 November 2007",Peltimikko,−282
106,"06:26, 10 November 2007",Dgies,−77
107,"06:20, 10 November 2007",Peltimikko,−80
108,"05:22, 10 November 2007",Alrokrrr,+37
109,"05:21, 10 November 2007",Alrokrrr,+4
110,"04:43, 10 November 2007",Zntrip,+4
111,"04:19, 10 November 2007",Krautukie,0
112,"03:44, 10 November 2007",Chensiyuan,−2
113,"03:42, 10 November 2007",Chensiyuan,+11
114,"03:41, 10 November 2007",Chensiyuan,−4
115,"02:32, 10 November 2007",Timppis,+22
116,"01:13, 10 November 2007",Ageekgal,−380
