,date,user,change_amt
0,"21:04, 24 September 2014",Titanium Dragon,−112
1,"09:58, 16 December 2012",76.88.39.206,+7
2,"08:59, 16 December 2012",Hmains,−1
3,"07:51, 16 December 2012",HandsomeFella,+1
4,"05:41, 16 December 2012",MZMcBride,−5
5,"04:00, 16 December 2012",98.82.27.111,+5
6,"02:34, 16 December 2012",MZMcBride,
7,"14:15, 30 September 2010",ElKevbo,−66
8,"14:06, 30 September 2010",208.67.140.193,+65
9,"13:33, 30 September 2010",208.67.140.193,−53
10,"13:31, 30 September 2010",208.67.140.193,+30
11,"13:24, 30 September 2010",208.67.140.193,+24
12,"10:40, 30 September 2010",BrownHairedGirl,−30
13,"00:51, 30 September 2010",HokieRNB,0
14,"00:18, 30 September 2010",76.242.8.108,0
15,"23:01, 18 April 2009",76.234.226.107,0
16,"21:51, 18 April 2009",ElKevbo,
17,"21:24, 18 April 2009",76.69.64.8,
18,"04:05, 18 April 2009",Backslash Forwardslash,
19,"04:05, 18 April 2009",69.112.73.138,
20,"04:04, 18 April 2009",69.112.73.138,−410
21,"16:09, 24 April 2008",Toddst1,0
22,"15:56, 24 April 2008",JSpung,−44
23,"15:56, 24 April 2008",164.58.68.3,+44
24,"15:55, 24 April 2008",Toddst1,−24
25,"15:54, 24 April 2008",164.58.68.3,+24
26,"12:56, 24 April 2008",HokieRNB,+123
27,"02:11, 24 April 2008",98.212.164.95,−123
28,"03:30, 27 February 2008",Sfmammamia,−6
29,"03:24, 27 February 2008",99.135.89.196,+6
30,"13:46, 4 October 2007",75.144.80.177,−8
31,"07:01, 1 July 2007",Pseudo-Richard,−16
32,"06:17, 1 July 2007",Pseudo-Richard,+21
33,"05:48, 1 July 2007",69.19.14.15,−7
34,"00:26, 11 May 2007",WhisperToMe,+296
35,"05:08, 1 May 2007",Sfmammamia,−12
36,"05:00, 1 May 2007",Yaf,0
37,"04:51, 1 May 2007",Yaf,−4
38,"04:49, 1 May 2007",Yaf,+1
39,"04:48, 1 May 2007",Yaf,+1
40,"04:47, 1 May 2007",Yaf,−4
41,"04:46, 1 May 2007",Yaf,−8
42,"04:43, 1 May 2007",Yaf,−8
43,"04:42, 1 May 2007",Yaf,−1
44,"04:18, 1 May 2007",Nivix,+7
45,"04:18, 1 May 2007",66.223.211.154,−7
46,"04:06, 1 May 2007",Chobot,−48
47,"03:33, 1 May 2007",Phony Saint,+67
48,"03:32, 1 May 2007",Burntapple,+11
49,"03:32, 1 May 2007",24.4.45.75,−67
50,"03:06, 1 May 2007",AceYYC,−43
51,"03:05, 1 May 2007",76.108.112.78,+40
52,"03:00, 1 May 2007",76.108.112.78,+3
53,"02:50, 1 May 2007",TAnthony,−153
54,"02:49, 1 May 2007",B,−5
55,"02:29, 1 May 2007",72.229.130.76,−66
56,"02:28, 1 May 2007",72.229.130.76,+72
57,"02:22, 1 May 2007",72.229.130.76,+152
58,"01:40, 1 May 2007",Loren36,+3
59,"01:36, 1 May 2007",204.111.144.162,−2
60,"01:35, 1 May 2007",204.111.144.162,−1
61,"01:14, 1 May 2007",Sfmammamia,−47
62,"01:13, 1 May 2007",Sfmammamia,−73
63,"01:05, 1 May 2007",Sonachowdhary4,+47
64,"01:02, 1 May 2007",Sonachowdhary4,+73
65,"23:21, 24 April 2007",WhisperToMe,+54
66,"23:21, 24 April 2007",70.0.246.107,+125
67,"23:20, 24 April 2007",WhisperToMe,−32
68,"23:10, 24 April 2007",TimothyChenAllen,+3
69,"22:56, 24 April 2007",El C,−73
70,"22:50, 24 April 2007",Matsuda~enwiki,+73
71,"22:49, 24 April 2007",TimVickers,+87
72,"22:47, 24 April 2007",TimVickers,−19
73,"22:46, 24 April 2007",TimVickers,+134
74,"22:38, 24 April 2007",Logical Argument,+17
75,"22:30, 24 April 2007",Drunkenmonkey,0
76,"22:28, 24 April 2007",Drunkenmonkey,−65
77,"22:27, 24 April 2007",Alucard51717,+65
78,"22:27, 24 April 2007",Alucard51717,0
79,"22:27, 24 April 2007",El C,−65
80,"22:25, 24 April 2007",76.21.163.65,+65
81,"22:24, 24 April 2007",Alucard51717,−3
82,"22:09, 24 April 2007",ElKevbo,−1
83,"21:59, 24 April 2007",El C,−140
84,"21:49, 24 April 2007",68.26.242.194,+24
85,"21:47, 24 April 2007",68.26.242.194,+116
86,"21:41, 24 April 2007",WhisperToMe,+300
87,"21:39, 24 April 2007",Mahagaja,−1
88,"21:38, 24 April 2007",WhisperToMe,
89,"21:31, 24 April 2007",Sfmammamia,−141
90,"21:29, 24 April 2007",Giaour9,+141
91,"21:29, 24 April 2007",Natalie Erin,−492
92,"21:28, 24 April 2007",66.57.118.48,+492
93,"21:25, 24 April 2007",Ronnotel,−18
94,"21:20, 24 April 2007",Sfmammamia,+1
95,"21:19, 24 April 2007",Sfmammamia,−2
96,"21:15, 24 April 2007",Naus,+38
97,"21:07, 24 April 2007",Naus,+6
98,"21:01, 24 April 2007",Naus,−1
99,"20:43, 24 April 2007",Ronnotel,+14
100,"20:39, 24 April 2007",Coemgenus,−10
101,"20:38, 24 April 2007",Coemgenus,−17
102,"20:37, 24 April 2007",Jared,
103,"20:33, 24 April 2007",Wrad,−1
104,"20:32, 24 April 2007",Yaf,−14
105,"20:27, 24 April 2007",Ashoup,+127
106,"20:27, 24 April 2007",Delldot,
107,"20:26, 24 April 2007",65.31.162.230,
108,"20:20, 24 April 2007",MartinBot,−105
109,"20:19, 24 April 2007",69.255.190.96,+105
110,"20:15, 24 April 2007",128.135.96.177,−288
111,"20:06, 24 April 2007",Youngidealist,
112,"19:36, 24 April 2007",Chrislk02,
113,"19:36, 24 April 2007",65.93.19.90,
114,"19:06, 24 April 2007",Chaser,−1
115,"19:00, 24 April 2007",B,−105
116,"18:58, 24 April 2007",65.214.112.56,+398
117,"18:58, 24 April 2007",Kkychina,−151
118,"18:54, 24 April 2007",198.82.73.153,+25
119,"18:48, 24 April 2007",Sfmammamia,−12
120,"18:45, 24 April 2007",BostonRed,+8
121,"18:38, 24 April 2007",Sfmammamia,−32
122,"18:22, 24 April 2007",Retired username,−125
123,"18:22, 24 April 2007",65.111.217.137,+68
124,"18:20, 24 April 2007",65.111.217.137,−13
125,"18:19, 24 April 2007",65.111.217.137,+70
126,"18:17, 24 April 2007",Bear475,
127,"18:08, 24 April 2007",PRRfan,−22
128,"18:07, 24 April 2007",205.125.21.109,
129,"18:06, 24 April 2007",PRRfan,−55
130,"18:01, 24 April 2007",Moreschi,−3
131,"18:01, 24 April 2007",169.204.228.230,+2
132,"18:01, 24 April 2007",169.204.228.230,+1
133,"17:55, 24 April 2007",Ronnotel,+4
134,"17:53, 24 April 2007",Ronnotel,−65
135,"17:53, 24 April 2007",PRRfan,−8
136,"17:50, 24 April 2007",Threeafterthree,
137,"17:45, 24 April 2007",Sandover,+310
138,"17:40, 24 April 2007",Jesant13,+24
139,"17:37, 24 April 2007",Gbo2k6,+25
140,"17:37, 24 April 2007",71.166.165.83,+4
141,"17:36, 24 April 2007",Gbo2k6,+4
142,"17:12, 24 April 2007",Kevinp2,−410
143,"17:05, 24 April 2007",Kevinp2,−179
144,"16:53, 24 April 2007",71.252.203.21,+259
145,"16:43, 24 April 2007",Pyrospirit,0
146,"16:36, 24 April 2007",ElKevbo,−147
147,"16:34, 24 April 2007",67.166.164.194,+15
148,"16:33, 24 April 2007",209.7.158.3,+147
149,"16:30, 24 April 2007",Bishwa s,+145
150,"16:08, 24 April 2007",Tpbradbury,
151,"15:56, 24 April 2007",Tpbradbury,+2
152,"15:47, 24 April 2007",Moreschi,0
153,"15:42, 24 April 2007",80.124.149.170,0
154,"15:38, 24 April 2007",Benabik,+171
155,"15:27, 24 April 2007",Benabik,−7
156,"15:18, 24 April 2007",Sfmammamia,
157,"15:15, 24 April 2007",Moreschi,+26
158,"15:13, 24 April 2007",205.221.92.9,−26
159,"15:02, 24 April 2007",Sfmammamia,+327
160,"14:57, 24 April 2007",Rich Farmbrough,0
161,"14:56, 24 April 2007",Rich Farmbrough,+144
162,"14:54, 24 April 2007",Ronnotel,+31
163,"14:53, 24 April 2007",Ronnotel,+40
164,"14:52, 24 April 2007",Darker Dreams,0
165,"14:50, 24 April 2007",Ronnotel,−76
166,"14:47, 24 April 2007",Sfmammamia,−14
167,"14:47, 24 April 2007",164.107.223.217,+277
168,"14:46, 24 April 2007",B,−101
169,"14:45, 24 April 2007",Sfmammamia,−71
170,"14:43, 24 April 2007",Sfmammamia,−103
171,"14:40, 24 April 2007",67.184.156.250,+101
172,"14:39, 24 April 2007",B,−101
173,"14:38, 24 April 2007",67.184.156.250,+101
174,"14:38, 24 April 2007",B,−2
175,"14:37, 24 April 2007",B,+13
176,"14:35, 24 April 2007",Sfmammamia,+2
177,"14:35, 24 April 2007",205.143.204.206,−28
178,"14:15, 24 April 2007",Kevinp2,+67
179,"14:12, 24 April 2007",Kevinp2,+37
180,"14:09, 24 April 2007",CJinoz,−31
181,"14:01, 24 April 2007",Gokustyle667,+31
182,"13:59, 24 April 2007",Salamurai,−4
183,"13:43, 24 April 2007",64.131.205.111,+4
184,"13:39, 24 April 2007",64.131.205.111,+403
185,"13:07, 24 April 2007",HokieRNB,0
186,"13:00, 24 April 2007",Kevinp2,0
187,"13:00, 24 April 2007",Felixboy,+9
188,"13:00, 24 April 2007",HokieRNB,+5
189,"12:59, 24 April 2007",216.120.135.222,−5
190,"12:58, 24 April 2007",Kevinp2,+305
191,"12:44, 24 April 2007",ElKevbo,
192,"12:23, 24 April 2007",71.111.210.246,+3
193,"12:12, 24 April 2007",Riana,
194,"12:12, 24 April 2007",128.130.205.17,
195,"12:10, 24 April 2007",Ps653,−49
196,"12:09, 24 April 2007",128.130.205.17,+49
197,"12:08, 24 April 2007",Ps653,
198,"12:06, 24 April 2007",128.130.205.17,+96
199,"12:02, 24 April 2007",128.130.205.17,
200,"11:14, 24 April 2007",Penser,+333
201,"11:11, 24 April 2007",Svetovid,−244
202,"11:10, 24 April 2007",Svetovid,
203,"11:06, 24 April 2007",Abe Lincoln,+36
204,"10:38, 24 April 2007",M a s,+1
205,"10:16, 24 April 2007",CJ,+36
206,"10:14, 24 April 2007",Valentinian,−1
207,"10:10, 24 April 2007",Riana,−32
208,"10:06, 24 April 2007",81.174.24.61,0
209,"10:04, 24 April 2007",203.111.237.12,+1
210,"09:53, 24 April 2007",61.5.146.126,+1
211,"09:53, 24 April 2007",61.5.146.126,−39
212,"09:26, 24 April 2007",Chuq,−376
213,"09:20, 24 April 2007",Chaerani,
214,"08:51, 24 April 2007",24.20.69.240,−7
215,"08:36, 24 April 2007",Stemonitis,+33
216,"08:19, 24 April 2007",El C,−12
217,"08:19, 24 April 2007",155.69.5.235,+12
218,"08:19, 24 April 2007",El C,−33
219,"08:17, 24 April 2007",155.69.5.235,+24
220,"08:14, 24 April 2007",155.69.5.235,+9
221,"07:04, 24 April 2007",Gbo2k6,+177
222,"05:17, 24 April 2007",Sfmammamia,+5
223,"04:35, 24 April 2007",Amcbride,−3
224,"04:24, 24 April 2007",Sfmammamia,+36
225,"04:18, 24 April 2007",Mayorcheese,+6
226,"04:10, 24 April 2007",Sfmammamia,+1
227,"04:06, 24 April 2007",Sfmammamia,+6
228,"04:00, 24 April 2007",Sfmammamia,+9
229,"03:47, 24 April 2007",Sfmammamia,−1
230,"03:46, 24 April 2007",Wahkeenah,+500
231,"03:46, 24 April 2007",Ohconfucius,−15
232,"03:46, 24 April 2007",Sfmammamia,+63
233,"03:44, 24 April 2007",Ohconfucius,−51
234,"03:42, 24 April 2007",Anchoress,0
235,"03:40, 24 April 2007",Ohconfucius,+14
236,"03:40, 24 April 2007",Jberr011,+47
237,"03:38, 24 April 2007",Ohconfucius,−70
238,"03:37, 24 April 2007",Ohconfucius,−43
239,"03:35, 24 April 2007",Ohconfucius,
240,"03:30, 24 April 2007",Ohconfucius,
241,"03:28, 24 April 2007",Mytwocents,−58
242,"03:26, 24 April 2007",Jberr011,+10
243,"03:24, 24 April 2007",Jberr011,+2
244,"03:23, 24 April 2007",Jberr011,
245,"03:22, 24 April 2007",Ohconfucius,−413
246,"03:18, 24 April 2007",Davecullen,+371
247,"03:18, 24 April 2007",Ohconfucius,
248,"03:13, 24 April 2007",Deltabeignet,+1
249,"03:10, 24 April 2007",Ohconfucius,−272
250,"03:06, 24 April 2007",Ohconfucius,−12
251,"03:03, 24 April 2007",Ohconfucius,−91
252,"03:00, 24 April 2007",Ohconfucius,−396
253,"02:57, 24 April 2007",Horace Horatius,+277
254,"02:51, 24 April 2007",WhisperToMe,−9
255,"02:50, 24 April 2007",Natalie Erin,+2
256,"02:49, 24 April 2007",Natalie Erin,+138
257,"02:38, 24 April 2007",Penser,+468
258,"02:28, 24 April 2007",Natalie Erin,−1
259,"02:14, 24 April 2007",Ohconfucius,
260,"01:53, 24 April 2007",Sfmammamia,−59
261,"01:50, 24 April 2007",Sfmammamia,+20
262,"00:16, 24 April 2007",VBGFscJUn3,+5
263,"04:05, 22 April 2007",24.124.88.192,
264,"04:03, 22 April 2007",Rklawton,
265,"04:02, 22 April 2007",Fundamental metric tensor,
266,"04:02, 22 April 2007",Rklawton,
267,"04:02, 22 April 2007",24.124.88.192,
268,"04:00, 22 April 2007",MartinBot,
269,"04:00, 22 April 2007",72.75.150.178,
270,"03:59, 22 April 2007",GGreeneVa,
271,"03:54, 22 April 2007",GGreeneVa,−66
272,"03:53, 22 April 2007",24.124.88.192,
273,"03:52, 22 April 2007",GGreeneVa,
274,"03:52, 22 April 2007",David Shankbone,−66
275,"03:50, 22 April 2007",24.124.88.192,
276,"03:46, 22 April 2007",JGHowes,+32
277,"03:43, 22 April 2007",GGreeneVa,0
278,"03:41, 22 April 2007",76.185.46.78,0
279,"03:39, 22 April 2007",Czj,−173
280,"03:38, 22 April 2007",58.162.53.194,+173
281,"03:38, 22 April 2007",Zzuuzz,+42
282,"03:38, 22 April 2007",69.118.129.76,0
283,"03:36, 22 April 2007",69.118.129.76,−47
284,"03:34, 22 April 2007",69.118.129.76,+5
285,"03:30, 22 April 2007",David Shankbone,+66
286,"03:30, 22 April 2007",B,−66
287,"03:29, 22 April 2007",YonaBot,+56
288,"03:26, 22 April 2007",LuigiManiac,+8
289,"03:25, 22 April 2007",68.53.34.3,−8
290,"03:25, 22 April 2007",TeaDrinker,+24
291,"03:23, 22 April 2007",68.53.34.3,−24
292,"03:15, 22 April 2007",Zzuuzz,−12
293,"03:13, 22 April 2007",68.53.34.3,+12
294,"02:34, 22 April 2007",Natalie Erin,0
295,"02:31, 22 April 2007",Natalie Erin,0
296,"02:31, 22 April 2007",Ronnotel,+4
297,"02:29, 22 April 2007",Morphh,+1
298,"02:28, 22 April 2007",72.196.114.56,+19
299,"02:23, 22 April 2007",JKrantoski,0
300,"02:19, 22 April 2007",Irish Pearl,−15
301,"02:18, 22 April 2007",69.19.14.38,+15
302,"02:16, 22 April 2007",71.36.128.30,−4
303,"02:16, 22 April 2007",Irish Pearl,−26
304,"02:15, 22 April 2007",69.19.14.38,+26
305,"02:08, 22 April 2007",Szyslak,−64
306,"02:07, 22 April 2007",Szyslak,−13
307,"02:06, 22 April 2007",66.66.69.56,+13
308,"02:04, 22 April 2007",66.66.69.56,+64
309,"01:59, 22 April 2007",Kransky,
310,"01:40, 22 April 2007",RoyBoy,+10
311,"01:36, 22 April 2007",AceYYC,+4
312,"01:25, 22 April 2007",RoyBoy,−1
313,"01:05, 22 April 2007",Natalie Erin,0
314,"01:02, 22 April 2007",203.206.238.112,−36
315,"00:51, 22 April 2007",RoyBoy,−20
316,"00:50, 22 April 2007",198.82.86.171,+70
317,"00:49, 22 April 2007",RoyBoy,−1
318,"00:39, 22 April 2007",199.18.239.3,+38
319,"00:30, 22 April 2007",ElKevbo,+4
320,"00:28, 22 April 2007",ElKevbo,+32
321,"00:27, 22 April 2007",75.47.141.203,0
322,"00:25, 22 April 2007",ElKevbo,−200
323,"00:18, 22 April 2007",66.183.92.54,+200
324,"00:10, 22 April 2007",74.101.6.41,−18
325,"00:01, 22 April 2007",M C Y 1008,−17
326,"00:00, 22 April 2007",74.101.6.41,+17
327,"23:06, 20 April 2007",T-Z-M,+119
328,"23:06, 20 April 2007",Natalie Erin,+245
329,"23:01, 20 April 2007",204.42.27.110,−245
330,"23:00, 20 April 2007",Gdo01,−5
331,"22:58, 20 April 2007",Crunch,
332,"22:56, 20 April 2007",Sportsandweatherfreak,+167
333,"22:56, 20 April 2007",Crunch,+2
334,"22:56, 20 April 2007",Crunch,+20
335,"22:53, 20 April 2007",Sfmammamia,−352
336,"22:48, 20 April 2007",Reisio,−1
337,"22:39, 20 April 2007",Reisio,−41
338,"22:38, 20 April 2007",195.56.91.23,+15
339,"22:37, 20 April 2007",195.56.91.23,+248
340,"22:36, 20 April 2007",Community editor,+133
341,"22:32, 20 April 2007",Community editor,
342,"22:32, 20 April 2007",Tvoz,+407
343,"22:29, 20 April 2007",Sfmammamia,−36
344,"22:28, 20 April 2007",Cool Blue,−60
345,"22:27, 20 April 2007",71.159.137.161,+60
346,"22:27, 20 April 2007",Uriel8,+134
347,"22:26, 20 April 2007",71.120.6.108,−56
348,"22:25, 20 April 2007",Uriel8,+88
349,"22:24, 20 April 2007",72.222.215.247,+107
350,"22:21, 20 April 2007",Rooot,
351,"22:18, 20 April 2007",Rooot,+51
352,"22:18, 20 April 2007",Sfmammamia,−326
353,"22:16, 20 April 2007",24.251.213.139,+19
354,"22:12, 20 April 2007",Uriel8,+145
355,"22:12, 20 April 2007",Rooot,
356,"22:11, 20 April 2007",Mycota,
357,"22:07, 20 April 2007",Swatjester,+295
358,"21:42, 20 April 2007",129.42.208.182,−4
359,"21:42, 20 April 2007",Nakon,−196
360,"21:41, 20 April 2007",69.149.228.226,+196
361,"21:41, 20 April 2007",Ixfd64,
362,"21:40, 20 April 2007",Gdo01,−15
363,"21:29, 20 April 2007",Mycota,+8
364,"21:22, 20 April 2007",Mlscdi,+99
365,"21:21, 20 April 2007",Sfmammamia,+1
366,"21:19, 20 April 2007",Markm62,−2
367,"21:18, 20 April 2007",Wadems,−1
368,"21:12, 20 April 2007",Markm62,+24
369,"21:12, 20 April 2007",Ronnotel,−264
370,"21:11, 20 April 2007",De Administrando Imperio,0
371,"21:11, 20 April 2007",De Administrando Imperio,−10
372,"21:08, 20 April 2007",Markm62,−48
373,"21:06, 20 April 2007",A Train,
374,"20:58, 20 April 2007",Caerwine,+7
375,"20:48, 20 April 2007",Moreschi,−186
376,"20:46, 20 April 2007",Kurtkowalchuk,+186
377,"20:42, 20 April 2007",Mathteacher1729,−18
378,"20:41, 20 April 2007",Kurtkowalchuk,+18
379,"20:39, 20 April 2007",128.164.240.94,+11
380,"20:37, 20 April 2007",128.164.240.94,+47
381,"20:36, 20 April 2007",Moreschi,−17
382,"20:35, 20 April 2007",Kurtkowalchuk,+17
383,"20:34, 20 April 2007",128.164.240.94,+29
384,"20:30, 20 April 2007",Mytwocents,+4
385,"20:30, 20 April 2007",Lapinmies,+264
386,"20:29, 20 April 2007",128.164.240.94,+397
387,"20:25, 20 April 2007",Pladuk,+153
388,"20:23, 20 April 2007",Nakon,−276
389,"20:23, 20 April 2007",Lapinmies,+264
390,"20:22, 20 April 2007",62.234.22.136,+12
391,"20:21, 20 April 2007",209.247.22.45,−394
392,"20:20, 20 April 2007",The Placebo Effect,
393,"20:19, 20 April 2007",ElKevbo,−217
394,"20:18, 20 April 2007",Lapinmies,+217
395,"20:17, 20 April 2007",Sad mouse,
396,"20:16, 20 April 2007",Jambalaya~enwiki,
397,"20:15, 20 April 2007",Fizbin,0
398,"20:13, 20 April 2007",Moreschi,−362
399,"20:12, 20 April 2007",72.196.201.180,+362
400,"20:11, 20 April 2007",Zscout370,−99
401,"20:11, 20 April 2007",67.52.184.2,+99
402,"20:03, 20 April 2007",Zzuuzz,
403,"20:02, 20 April 2007",68.19.88.80,
404,"19:58, 20 April 2007",Moreschi,+50
405,"19:57, 20 April 2007",80.47.229.161,−50
406,"19:57, 20 April 2007",MartinBot,
407,"19:57, 20 April 2007",68.19.88.80,
408,"19:55, 20 April 2007",Sfmammamia,−298
409,"19:53, 20 April 2007",12.116.162.162,+1
410,"19:52, 20 April 2007",68.250.189.233,−16
411,"19:51, 20 April 2007",Sfmammamia,
412,"19:50, 20 April 2007",68.33.211.245,0
413,"19:46, 20 April 2007",Sfmammamia,−332
414,"19:46, 20 April 2007",169.229.73.166,+20
415,"19:43, 20 April 2007",169.229.73.166,+28
416,"19:42, 20 April 2007",169.229.73.166,+332
417,"19:41, 20 April 2007",Zehly,−189
418,"19:38, 20 April 2007",ElKevbo,+27
419,"19:35, 20 April 2007",ElKevbo,+59
420,"19:34, 20 April 2007",82.82.85.1,0
421,"19:33, 20 April 2007",Bambamfan91,+4
422,"19:32, 20 April 2007",ElKevbo,0
423,"19:29, 20 April 2007",Teka522001,
424,"19:22, 20 April 2007",Sfmammamia,−28
425,"19:21, 20 April 2007",StuffOfInterest,+27
426,"19:16, 20 April 2007",Supergeo,−16
427,"19:16, 20 April 2007",Supergeo,+16
428,"19:07, 20 April 2007",Sfmammamia,+9
429,"19:04, 20 April 2007",Natalie Erin,−5
430,"19:02, 20 April 2007",Natalie Erin,−28
431,"19:01, 20 April 2007",Sfmammamia,−39
432,"19:00, 20 April 2007",Slyguy,+2
433,"18:59, 20 April 2007",Natalie Erin,−1
434,"18:56, 20 April 2007",128.173.44.189,−1
435,"18:50, 20 April 2007",Markm62,+27
436,"18:46, 20 April 2007",12.96.202.201,+186
437,"18:46, 20 April 2007",65.214.112.56,−1
438,"18:45, 20 April 2007",65.214.112.56,+106
439,"18:44, 20 April 2007",206.192.18.14,0
440,"18:44, 20 April 2007",Chrishmt0423,+51
441,"18:33, 20 April 2007",Halo,−1
442,"18:32, 20 April 2007",Halo,+68
443,"18:22, 20 April 2007",131.25.245.4,−2
444,"18:17, 20 April 2007",162.70.54.99,−22
445,"18:14, 20 April 2007",JoshuaZ,+3
446,"18:14, 20 April 2007",JoshuaZ,−3
447,"18:12, 20 April 2007",LuigiManiac,−3
448,"18:12, 20 April 2007",209.7.246.70,+3
449,"18:11, 20 April 2007",Vodak,+27
450,"18:11, 20 April 2007",Armanikid,+2
451,"18:11, 20 April 2007",168.18.81.66,−149
452,"18:10, 20 April 2007",Armanikid,−19
453,"18:10, 20 April 2007",Armanikid,+4
454,"18:09, 20 April 2007",162.70.54.99,+19
455,"18:09, 20 April 2007",JoshuaZ,+8
456,"18:08, 20 April 2007",Markm62,−2
457,"18:08, 20 April 2007",70.129.61.226,+149
458,"18:08, 20 April 2007",Markm62,+7
459,"18:07, 20 April 2007",JoshuaZ,−6
460,"18:07, 20 April 2007",Markm62,+1
461,"18:06, 20 April 2007",JoshuaZ,+169
462,"18:06, 20 April 2007",Markm62,+34
463,"18:06, 20 April 2007",162.70.54.99,+1
464,"18:05, 20 April 2007",162.70.54.99,+296
465,"18:02, 20 April 2007",162.70.54.99,+3
466,"18:00, 20 April 2007",162.70.54.99,0
467,"17:58, 20 April 2007",Abe Lincoln,+84
468,"17:58, 20 April 2007",162.70.54.99,+4
469,"17:57, 20 April 2007",Markm62,+42
470,"17:57, 20 April 2007",Cherylyoung,+187
471,"17:57, 20 April 2007",162.70.54.99,+404
472,"17:57, 20 April 2007",Garas,−1
473,"17:55, 20 April 2007",LuigiManiac,−3
474,"17:52, 20 April 2007",Markm62,+11
475,"17:51, 20 April 2007",209.7.246.70,+3
476,"17:51, 20 April 2007",Darrik2,+4
477,"17:51, 20 April 2007",165.138.192.9,+9
478,"17:50, 20 April 2007",130.101.116.158,−105
479,"17:49, 20 April 2007",Markm62,−84
480,"17:48, 20 April 2007",LuigiManiac,−9
481,"17:48, 20 April 2007",Markm62,−25
482,"17:48, 20 April 2007",Antandrus,−1
483,"17:48, 20 April 2007",209.7.246.70,+1
484,"17:47, 20 April 2007",165.138.192.9,+34
485,"17:42, 20 April 2007",80.43.109.255,+33
486,"17:38, 20 April 2007",LuigiManiac,−34
487,"17:37, 20 April 2007",Halo,
488,"17:35, 20 April 2007",165.138.192.9,+34
489,"17:34, 20 April 2007",Halo,−132
490,"17:33, 20 April 2007",Halo,+222
491,"17:32, 20 April 2007",165.138.192.9,+7
492,"17:31, 20 April 2007",Rooot,+32
493,"17:27, 20 April 2007",Halo,−32
494,"17:19, 20 April 2007",63.230.90.4,+13
495,"17:16, 20 April 2007",Kukini,−2
496,"17:16, 20 April 2007",137.22.118.130,+2
497,"17:14, 20 April 2007",Kukini,−2
498,"17:14, 20 April 2007",137.22.118.130,+2
499,"17:12, 20 April 2007",Kukini,
500,"17:12, 20 April 2007",130.126.203.146,
501,"17:11, 20 April 2007",130.126.203.146,−28
502,"17:11, 20 April 2007",DerHexer,
503,"17:11, 20 April 2007",130.126.203.146,
504,"17:04, 20 April 2007",Worldanh,0
505,"17:03, 20 April 2007",Nivix,
506,"17:03, 20 April 2007",170.158.236.127,
507,"17:02, 20 April 2007",Worldanh,+90
508,"16:57, 20 April 2007",Worldanh,+90
509,"16:56, 20 April 2007",Adambro,+5
510,"16:53, 20 April 2007",Adambro,+59
511,"16:48, 20 April 2007",Pupster21,
512,"16:48, 20 April 2007",89.54.53.203,
513,"16:47, 20 April 2007",DerHexer,
514,"16:47, 20 April 2007",64.26.116.204,−156
515,"16:47, 20 April 2007",89.54.53.203,
516,"16:47, 20 April 2007",DerHexer,
517,"16:46, 20 April 2007",63.160.254.113,
518,"16:44, 20 April 2007",Rooot,+32
519,"16:44, 20 April 2007",63.160.254.113,+156
520,"16:43, 20 April 2007",ElKevbo,+226
521,"16:38, 20 April 2007",The Letter J,+1
522,"16:36, 20 April 2007",Fizbin,−124
523,"16:34, 20 April 2007",MoodyGroove,+205
524,"16:32, 20 April 2007",Anubis2003,−29
525,"16:29, 20 April 2007",65.214.112.56,−100
526,"16:28, 20 April 2007",ElKevbo,+1
527,"16:27, 20 April 2007",ElKevbo,+1
528,"16:26, 20 April 2007",65.214.112.56,+163
529,"16:25, 20 April 2007",ElKevbo,0
