,level_0,index,date,user,change_amt,year,running_count
0,0,6162,2007-04-16 15:16:00,Taoster,107,2007,107
1,1,5921,2007-04-16 15:19:00,GhostPirate,253,2007,360
2,2,5920,2007-04-16 15:21:00,GhostPirate,35,2007,395
3,3,5919,2007-04-16 15:28:00,Yellowbuddy,0,2007,395
4,4,6157,2007-04-16 15:29:00,GhostPirate,121,2007,516
5,5,5918,2007-04-16 15:29:00,Yellowbuddy,183,2007,699
6,6,6155,2007-04-16 15:30:00,Yellowbuddy,0,2007,699
7,7,6156,2007-04-16 15:30:00,GhostPirate,1,2007,700
8,8,6154,2007-04-16 15:32:00,Yellowbuddy,67,2007,767
9,9,6153,2007-04-16 15:33:00,GhostPirate,158,2007,925
10,10,6152,2007-04-16 15:34:00,GhostPirate,1,2007,926
11,11,6151,2007-04-16 15:35:00,GhostPirate,-20,2007,906
12,12,6149,2007-04-16 15:37:00,RHB,0,2007,906
13,13,5910,2007-04-16 15:37:00,PSUMark2006,22,2007,928
14,14,5908,2007-04-16 15:46:00,Rxnd,6,2007,934
15,15,5907,2007-04-16 15:47:00,Rxnd,50,2007,984
16,16,5906,2007-04-16 15:49:00,PGPirate,100,2007,1084
17,17,5905,2007-04-16 15:50:00,B,74,2007,1158
18,18,5904,2007-04-16 15:52:00,Zachary,56,2007,1214
19,19,5903,2007-04-16 15:57:00,Bmoore2009,218,2007,1432
20,20,6142,2007-04-16 16:03:00,Bmoore2009,176,2007,1608
21,21,6141,2007-04-16 16:04:00,PSUMark2006,2,2007,1610
22,22,6140,2007-04-16 16:05:00,Bmoore2009,-3,2007,1607
23,23,6139,2007-04-16 16:09:00,Verdafolio,267,2007,1874
24,24,5898,2007-04-16 16:11:00,Verdafolio,-2,2007,1872
25,25,5897,2007-04-16 16:14:00,Bmoore2009,-7,2007,1865
26,26,5896,2007-04-16 16:15:00,208.111.194.85,0,2007,1865
27,27,6135,2007-04-16 16:16:00,FPAtl,52,2007,1917
28,28,5894,2007-04-16 16:18:00,Verdafolio,-1,2007,1916
29,29,5893,2007-04-16 16:18:00,PSUMark2006,97,2007,2013
30,31,5890,2007-04-16 16:19:00,Verdafolio,1,2007,2014
31,32,5891,2007-04-16 16:19:00,Jopgaard,67,2007,2081
32,30,5892,2007-04-16 16:19:00,Verdafolio,133,2007,2214
33,33,6129,2007-04-16 16:20:00,Verdafolio,-67,2007,2147
34,34,6127,2007-04-16 16:22:00,PSUMark2006,56,2007,2203
35,35,5888,2007-04-16 16:22:00,PSUMark2006,137,2007,2340
36,36,6126,2007-04-16 16:23:00,PSUMark2006,0,2007,2340
37,37,6125,2007-04-16 16:23:00,Verdafolio,4,2007,2344
38,38,6124,2007-04-16 16:23:00,Igafooj,16,2007,2360
39,39,6123,2007-04-16 16:24:00,Igafooj,-2,2007,2358
40,40,5882,2007-04-16 16:26:00,Verdafolio,155,2007,2513
41,41,5881,2007-04-16 16:28:00,Verdafolio,43,2007,2556
42,42,5880,2007-04-16 16:28:00,TexasDawg,79,2007,2635
43,43,5879,2007-04-16 16:30:00,Verdafolio,197,2007,2832
44,44,5877,2007-04-16 16:31:00,Verdafolio,46,2007,2878
45,45,5878,2007-04-16 16:31:00,Verdafolio,2,2007,2880
46,46,6116,2007-04-16 16:33:00,67.189.157.69,14,2007,2894
47,47,5875,2007-04-16 16:34:00,161.107.18.136,-58,2007,2836
48,48,5874,2007-04-16 16:34:00,161.107.18.136,-4,2007,2832
49,49,6112,2007-04-16 16:35:00,72.92.32.15,20,2007,2852
50,50,6113,2007-04-16 16:35:00,160.254.108.24,26,2007,2878
51,52,6110,2007-04-16 16:38:00,Verdafolio,253,2007,3131
52,53,6111,2007-04-16 16:38:00,Kizor,-17,2007,3114
53,51,6109,2007-04-16 16:38:00,Verdafolio,5,2007,3119
54,54,6108,2007-04-16 16:40:00,Timothyarnold85,-10,2007,3109
55,55,5867,2007-04-16 16:40:00,Verdafolio,173,2007,3282
56,56,5866,2007-04-16 16:40:00,KazakhPol,0,2007,3282
57,57,5865,2007-04-16 16:40:00,Verdafolio,-5,2007,3277
58,61,5863,2007-04-16 16:41:00,Verdafolio,21,2007,3298
59,58,5864,2007-04-16 16:41:00,71.213.237.121,20,2007,3318
60,59,5862,2007-04-16 16:41:00,Timothyarnold85,1,2007,3319
61,60,5861,2007-04-16 16:41:00,Verdafolio,29,2007,3348
62,64,5857,2007-04-16 16:42:00,129.174.173.67,189,2007,3537
63,65,5860,2007-04-16 16:42:00,72.92.32.15,-2,2007,3535
64,62,5859,2007-04-16 16:42:00,PRRfan,-19,2007,3516
65,63,5858,2007-04-16 16:42:00,Timothyarnold85,-4,2007,3512
66,66,6096,2007-04-16 16:43:00,Kizor,-49,2007,3463
67,67,5853,2007-04-16 16:43:00,Fethers,37,2007,3500
68,68,5854,2007-04-16 16:43:00,AEMoreira042281,-140,2007,3360
69,69,5855,2007-04-16 16:43:00,Timothyarnold85,-37,2007,3323
70,74,5851,2007-04-16 16:44:00,AEMoreira042281,6,2007,3329
71,73,5850,2007-04-16 16:44:00,129.174.173.67,38,2007,3367
72,75,5852,2007-04-16 16:44:00,161.107.18.136,0,2007,3367
73,71,5847,2007-04-16 16:44:00,DwayneP,69,2007,3436
74,70,6088,2007-04-16 16:44:00,AEMoreira042281,-39,2007,3397
75,72,5849,2007-04-16 16:44:00,AEMoreira042281,26,2007,3423
76,76,5846,2007-04-16 16:45:00,Timothyarnold85,-29,2007,3394
77,77,5845,2007-04-16 16:45:00,129.174.173.67,45,2007,3439
78,78,5844,2007-04-16 16:45:00,AEMoreira042281,-69,2007,3370
79,79,5843,2007-04-16 16:46:00,Ernie at Tedium,3,2007,3373
80,80,5842,2007-04-16 16:47:00,129.174.173.67,76,2007,3449
81,81,5840,2007-04-16 16:48:00,Darry2385,-85,2007,3364
82,82,5841,2007-04-16 16:48:00,129.174.173.67,9,2007,3373
83,83,5839,2007-04-16 16:49:00,Dhartung,3,2007,3376
84,84,6078,2007-04-16 16:49:00,AEMoreira042281,10,2007,3386
85,86,6076,2007-04-16 16:50:00,Nishkid64,0,2007,3386
86,85,6077,2007-04-16 16:50:00,129.174.173.67,55,2007,3441
87,88,5835,2007-04-16 16:51:00,71.213.237.121,16,2007,3457
88,89,5833,2007-04-16 16:51:00,Fethers,-54,2007,3403
89,87,5834,2007-04-16 16:51:00,John Stattic,65,2007,3468
90,90,5832,2007-04-16 16:52:00,Timothyarnold85,-262,2007,3206
91,91,5831,2007-04-16 16:53:00,Timothyarnold85,-1,2007,3205
92,92,5830,2007-04-16 16:53:00,The wub,2,2007,3207
93,93,5829,2007-04-16 16:54:00,Daysleeper47,228,2007,3435
94,94,6066,2007-04-16 16:55:00,Timothyarnold85,310,2007,3745
95,95,6064,2007-04-16 16:55:00,AEMoreira042281,-109,2007,3636
96,96,5828,2007-04-16 16:55:00,Verdafolio,20,2007,3656
97,97,5827,2007-04-16 16:55:00,Elliskev,158,2007,3814
98,98,5825,2007-04-16 16:55:00,71.213.237.121,110,2007,3924
99,103,6063,2007-04-16 16:56:00,131.111.100.155,-1,2007,3923
100,102,6062,2007-04-16 16:56:00,Timothyarnold85,-20,2007,3903
101,100,5821,2007-04-16 16:56:00,69.156.168.238,67,2007,3970
102,99,6059,2007-04-16 16:56:00,Trampikey,-7,2007,3963
103,101,6060,2007-04-16 16:56:00,71.213.237.121,110,2007,4073
104,104,6054,2007-04-16 16:57:00,HappyCamper,13,2007,4086
105,105,5818,2007-04-16 16:57:00,Wjmoore17,-95,2007,3991
106,106,5817,2007-04-16 16:57:00,Verdafolio,138,2007,4129
107,107,5816,2007-04-16 16:57:00,Elliskev,26,2007,4155
108,108,5815,2007-04-16 16:57:00,Timothyarnold85,5,2007,4160
109,109,5813,2007-04-16 16:57:00,Daysleeper47,21,2007,4181
110,114,5810,2007-04-16 16:58:00,PRRfan,-32,2007,4149
111,115,5808,2007-04-16 16:58:00,Timothyarnold85,0,2007,4149
112,113,5811,2007-04-16 16:58:00,Kizor,187,2007,4336
113,111,6049,2007-04-16 16:58:00,Kizor,-2,2007,4334
114,110,6047,2007-04-16 16:58:00,68.175.108.175,8,2007,4342
115,112,5812,2007-04-16 16:58:00,HappyCamper,-27,2007,4315
116,116,5806,2007-04-16 16:59:00,J 1982,43,2007,4358
117,117,5805,2007-04-16 16:59:00,69.156.168.238,0,2007,4358
118,118,6043,2007-04-16 17:00:00,PRRfan,-2,2007,4356
119,119,5802,2007-04-16 17:00:00,Kizor,137,2007,4493
120,120,6044,2007-04-16 17:00:00,PRRfan,-49,2007,4444
121,123,6038,2007-04-16 17:01:00,71.213.237.121,125,2007,4569
122,124,6039,2007-04-16 17:01:00,71.64.206.248,75,2007,4644
123,122,5800,2007-04-16 17:01:00,PRRfan,-12,2007,4632
124,121,6041,2007-04-16 17:01:00,Timothyarnold85,0,2007,4632
125,125,6034,2007-04-16 17:02:00,Majorly,16,2007,4648
126,126,6035,2007-04-16 17:02:00,Ali'i,-8,2007,4640
127,127,6036,2007-04-16 17:02:00,Majorly,0,2007,4640
128,128,6037,2007-04-16 17:02:00,Rst20xx,-2,2007,4638
129,129,6033,2007-04-16 17:03:00,PRRfan,-124,2007,4514
130,130,6030,2007-04-16 17:03:00,Timothyarnold85,0,2007,4514
131,131,6031,2007-04-16 17:03:00,Nishkid64,-138,2007,4376
132,135,6029,2007-04-16 17:04:00,PRRfan,-36,2007,4340
133,134,6028,2007-04-16 17:04:00,Trampikey,46,2007,4386
134,133,6027,2007-04-16 17:04:00,PRRfan,2,2007,4388
135,132,6026,2007-04-16 17:04:00,Bdj,8,2007,4396
136,136,5785,2007-04-16 17:05:00,Timothyarnold85,2,2007,4398
137,137,6024,2007-04-16 17:07:00,Timothyarnold85,-46,2007,4352
138,138,5782,2007-04-16 17:08:00,Nedtyler,15,2007,4367
139,139,5783,2007-04-16 17:08:00,President David Palmer,-2,2007,4365
140,140,5779,2007-04-16 17:09:00,Timothyarnold85,-9,2007,4356
141,141,6020,2007-04-16 17:09:00,Trampikey,1,2007,4357
142,142,5781,2007-04-16 17:09:00,Kizor,83,2007,4440
143,145,6016,2007-04-16 17:10:00,Kizor,34,2007,4474
144,146,6015,2007-04-16 17:10:00,Bueller 007,53,2007,4527
145,143,6018,2007-04-16 17:10:00,Kizor,-34,2007,4493
146,144,6017,2007-04-16 17:10:00,Trampikey,6,2007,4499
