,Edits,Name,date,url,category
0,58,Climate change,2002-01,https://en.wikipedia.org/wiki/Climate%20change,"['Anthropocene', 'Climate change', 'History of climate variability and change', 'Global environmental issues', 'Human impact on the environment']"
1,53,Karl Marx,2002-01,https://en.wikipedia.org/wiki/Karl%20Marx,"['Karl Marx', '1818 births', '1883 deaths', '19th-century atheists', '19th-century economists', '19th-century German historians', '19th-century German non-fiction writers', '19th-century German philosophers', 'Anti-consumerists', 'Anti-globalization activists', 'Anti-imperialism', 'German anti-poverty advocates', 'Atheist philosophers', 'Burials at Highgate Cemetery', 'German Communist writers', 'Conflict theory', 'Continental philosophers', 'Critics of religions', 'Cultural critics', 'Deaths from bronchitis', 'Economic historians', 'Epistemologists', 'Fellows of the Royal Society of Arts', 'German anti-capitalists', 'German atheism activists', 'German atheist writers', 'German communists', 'German economists', 'German emigrants to England', 'German male non-fiction writers', 'German Marxists', 'German people of Dutch-Jewish descent', 'German political philosophers', 'German revolutionaries', 'German socialists', 'German sociologists', 'German tax resisters', 'Historians of economic thought', 'Humboldt University of Berlin alumni', 'Male journalists', 'Marxian economists', 'Marxist historians', 'Marxist journalists', 'Marxist theorists', 'German Marxist writers', 'Materialists', ""Members of the International Workingmen's Association"", 'Metaphysicians', 'Moral philosophers', 'Ontologists', 'German opinion journalists', 'Pamphleteers', 'People from the Grand Duchy of the Lower Rhine', 'People from Trier', 'Philosophers of culture', 'Philosophers of economics', 'Philosophers of education', 'Philosophers of ethics and morality', 'Philosophers of history', 'Philosophers of law', 'Philosophers of mind', 'Philosophers of religion', 'Philosophers of science', 'Philosophers of technology', 'Philosophical anthropology', 'Revolutionaries', 'German social commentators', 'Social critics', 'Social philosophers', 'Socialism', 'Socialist economists', 'Stateless people', 'Theorists on Western civilization', 'University of Bonn alumni', 'University of Jena alumni', 'Writers about activism and social change', 'Writers about globalization', 'Writers about religion and science', 'German expatriates in the United Kingdom', 'German expatriates in Belgium', 'German expatriates in France', 'Critics of political economy', 'Critics of work and the work ethic']"
2,46,Nuclear weapon,2002-01,https://en.wikipedia.org/wiki/Nuclear%20weapon,"['Nuclear weapons', 'Weapons and ammunition introduced in 1945', 'American inventions', 'Bombs', 'Nuclear bombs']"
3,38,List of saints,2002-01,https://en.wikipedia.org/wiki/List%20of%20saints,['Lists of saints']
4,37,"List of Latin place names in Continental Europe, Ireland and Scandinavia",2002-01,"https://en.wikipedia.org/wiki/List%20of%20Latin%20place%20names%20in%20Continental%20Europe,%20Ireland%20and%20Scandinavia","['Alternative names of European places', 'Lists of Latin place names', 'Lists of cities in Europe', 'Lists of cities by toponymy']"
0,96,Beryllium,2002-02,https://en.wikipedia.org/wiki/Beryllium,"['Beryllium', 'Chemical elements', 'Alkaline earth metals', 'Neutron moderators', 'Nuclear materials', 'IARC Group 1 carcinogens', 'Occupational safety and health', 'Reducing agents', 'Chemical elements with hexagonal close-packed structure']"
1,57,2002 Winter Olympics,2002-02,https://en.wikipedia.org/wiki/2002%20Winter%20Olympics,"['2002 Winter Olympics', '2002 in multi-sport events', '2002 in winter sports', 'Sports competitions in Salt Lake City', 'Olympic Games in the United States', 'Winter multi-sport events in the United States', 'National Special Security Events', '2002 in American sports', '2002 in Utah', 'Winter Olympics by year', '2000s in Salt Lake City', 'February 2002 sports events in the United States', 'Olympic Games in Utah', '2002 in sports in Utah']"
2,45,Main Page,2002-02,https://en.wikipedia.org/wiki/Main%20Page,['no category']
3,38,British politics,2002-02,https://en.wikipedia.org/wiki/British%20politics,['Politics of the United Kingdom']
4,36,Gravitational constant,2002-02,https://en.wikipedia.org/wiki/Gravitational%20constant,"['Gravity', 'Fundamental constants']"
