,Edits,Name,date,url,Date
0,58,Climate change,2002-01,https://en.wikipedia.org/wiki/Climate%20change,1970-01
1,53,Karl Marx,2002-01,https://en.wikipedia.org/wiki/Karl%20Marx,1970-01
2,46,Nuclear weapon,2002-01,https://en.wikipedia.org/wiki/Nuclear%20weapon,1970-01
3,38,List of saints,2002-01,https://en.wikipedia.org/wiki/List%20of%20saints,1970-01
4,37,"List of Latin place names in Continental Europe, Ireland and Scandinavia",2002-01,"https://en.wikipedia.org/wiki/List%20of%20Latin%20place%20names%20in%20Continental%20Europe,%20Ireland%20and%20Scandinavia",1970-01
5,37,Sacramento (disambiguation),2002-01,https://en.wikipedia.org/wiki/Sacramento%20(disambiguation),1970-01
6,35,Vietnam War,2002-01,https://en.wikipedia.org/wiki/Vietnam%20War,1970-01
7,34,Fermi paradox,2002-01,https://en.wikipedia.org/wiki/Fermi%20paradox,1970-01
8,34,Psychology,2002-01,https://en.wikipedia.org/wiki/Psychology,1970-01
9,33,Martin Luther,2002-01,https://en.wikipedia.org/wiki/Martin%20Luther,1970-01
0,96,Beryllium,2002-02,https://en.wikipedia.org/wiki/Beryllium,1970-01
1,57,2002 Winter Olympics,2002-02,https://en.wikipedia.org/wiki/2002%20Winter%20Olympics,1970-01
2,45,Main Page,2002-02,https://en.wikipedia.org/wiki/Main%20Page,1970-01
3,38,British politics,2002-02,https://en.wikipedia.org/wiki/British%20politics,1970-01
4,36,Gravitational constant,2002-02,https://en.wikipedia.org/wiki/Gravitational%20constant,1970-01
5,32,3rd millennium BC,2002-02,https://en.wikipedia.org/wiki/3rd%20millennium%20BC,1970-01
6,30,Library of Congress catalog scheme,2002-02,https://en.wikipedia.org/wiki/Library%20of%20Congress%20catalog%20scheme,1970-01
7,29,Deep England,2002-02,https://en.wikipedia.org/wiki/Deep%20England,1970-01
8,28,List of German monarchs,2002-02,https://en.wikipedia.org/wiki/List%20of%20German%20monarchs,1970-01
9,26,A child's history of England,2002-02,https://en.wikipedia.org/wiki/A%20child's%20history%20of%20England,1970-01
0,71,Invention,2002-03,https://en.wikipedia.org/wiki/Invention,1970-01
1,68,Academy Award for Best Picture,2002-03,https://en.wikipedia.org/wiki/Academy%20Award%20for%20Best%20Picture,1970-01
2,51,Sex education,2002-03,https://en.wikipedia.org/wiki/Sex%20education,1970-01
3,36,380,2002-03,https://en.wikipedia.org/wiki/380,1970-01
4,34,Bubble fusion,2002-03,https://en.wikipedia.org/wiki/Bubble%20fusion,1970-01
5,34,Green Party,2002-03,https://en.wikipedia.org/wiki/Green%20Party,1970-01
6,31,Biosecurity,2002-03,https://en.wikipedia.org/wiki/Biosecurity,1970-01
7,31,Submarine communications cable,2002-03,https://en.wikipedia.org/wiki/Submarine%20communications%20cable,1970-01
8,29,Religion and sexuality,2002-03,https://en.wikipedia.org/wiki/Religion%20and%20sexuality,1970-01
9,28,Gdańsk,2002-03,https://en.wikipedia.org/wiki/Gda%C5%84sk,1970-01
0,37,Chess,2002-04,https://en.wikipedia.org/wiki/Chess,1970-01
1,36,Stochastic process,2002-04,https://en.wikipedia.org/wiki/Stochastic%20process,1970-01
2,32,Randomness,2002-04,https://en.wikipedia.org/wiki/Randomness,1970-01
3,29,Normal distribution,2002-04,https://en.wikipedia.org/wiki/Normal%20distribution,1970-01
4,28,Queen Elizabeth The Queen Mother,2002-04,https://en.wikipedia.org/wiki/Queen%20Elizabeth%20The%20Queen%20Mother,1970-01
5,26,Tree,2002-04,https://en.wikipedia.org/wiki/Tree,1970-01
6,25,Particle physics,2002-04,https://en.wikipedia.org/wiki/Particle%20physics,1970-01
7,24,Economics,2002-04,https://en.wikipedia.org/wiki/Economics,1970-01
8,23,Supercomputer,2002-04,https://en.wikipedia.org/wiki/Supercomputer,1970-01
9,23,Shark,2002-04,https://en.wikipedia.org/wiki/Shark,1970-01
0,51,Nicolaus Copernicus,2002-05,https://en.wikipedia.org/wiki/Nicolaus%20Copernicus,1970-01
1,36,Jenin,2002-05,https://en.wikipedia.org/wiki/Jenin,1970-01
2,35,Palestinian political violence,2002-05,https://en.wikipedia.org/wiki/Palestinian%20political%20violence,1970-01
3,28,Pim Fortuyn,2002-05,https://en.wikipedia.org/wiki/Pim%20Fortuyn,1970-01
4,26,Ten Commandments,2002-05,https://en.wikipedia.org/wiki/Ten%20Commandments,1970-01
5,25,Main Page,2002-05,https://en.wikipedia.org/wiki/Main%20Page,1970-01
7,24,Free software,2002-05,https://en.wikipedia.org/wiki/Free%20software,1970-01
8,24,Physics,2002-05,https://en.wikipedia.org/wiki/Physics,1970-01
9,23,Administrative counties of England,2002-05,https://en.wikipedia.org/wiki/Administrative%20counties%20of%20England,1970-01
10,23,Flowering plant,2002-05,https://en.wikipedia.org/wiki/Flowering%20plant,1970-01
0,193,2002 FIFA World Cup,2002-06,https://en.wikipedia.org/wiki/2002%20FIFA%20World%20Cup,1970-01
1,180,Chinese sovereign,2002-06,https://en.wikipedia.org/wiki/Chinese%20sovereign,1970-01
2,95,Marco Polo Bridge Incident,2002-06,https://en.wikipedia.org/wiki/Marco%20Polo%20Bridge%20Incident,1970-01
3,93,Han dynasty,2002-06,https://en.wikipedia.org/wiki/Han%20dynasty,1970-01
4,91,Five Barbarians,2002-06,https://en.wikipedia.org/wiki/Five%20Barbarians,1970-01
5,52,History of China,2002-06,https://en.wikipedia.org/wiki/History%20of%20China,1970-01
6,48,"Richard Boyle, 1st Earl of Cork",2002-06,"https://en.wikipedia.org/wiki/Richard%20Boyle,%201st%20Earl%20of%20Cork",1970-01
7,44,Economics,2002-06,https://en.wikipedia.org/wiki/Economics,1970-01
8,43,Computer security,2002-06,https://en.wikipedia.org/wiki/Computer%20security,1970-01
9,41,Early infanticidal childrearing,2002-06,https://en.wikipedia.org/wiki/Early%20infanticidal%20childrearing,1970-01
0,123,List of novelists by nationality,2002-07,https://en.wikipedia.org/wiki/List%20of%20novelists%20by%20nationality,1970-01
1,55,Main Page,2002-07,https://en.wikipedia.org/wiki/Main%20Page,1970-01
2,43,List of The Simpsons characters,2002-07,https://en.wikipedia.org/wiki/List%20of%20The%20Simpsons%20characters,1970-01
3,43,Montmartre,2002-07,https://en.wikipedia.org/wiki/Montmartre,1970-01
4,43,Attention deficit hyperactivity disorder,2002-07,https://en.wikipedia.org/wiki/Attention%20deficit%20hyperactivity%20disorder,1970-01
5,41,Oder–Neisse line,2002-07,https://en.wikipedia.org/wiki/Oder%E2%80%93Neisse%20line,1970-01
6,37,BASIC,2002-07,https://en.wikipedia.org/wiki/BASIC,1970-01
7,37,Hominidae,2002-07,https://en.wikipedia.org/wiki/Hominidae,1970-01
8,36,China,2002-07,https://en.wikipedia.org/wiki/China,1970-01
9,36,Academy Awards,2002-07,https://en.wikipedia.org/wiki/Academy%20Awards,1970-01
0,124,Law,2002-08,https://en.wikipedia.org/wiki/Law,1970-01
1,73,List of films preserved in the United States National Film Registry,2002-08,https://en.wikipedia.org/wiki/List%20of%20films%20preserved%20in%20the%20United%20States%20National%20Film%20Registry,1970-01
2,72,Paris,2002-08,https://en.wikipedia.org/wiki/Paris,1970-01
3,67,United States,2002-08,https://en.wikipedia.org/wiki/United%20States,1970-01
4,61,Biblical canon,2002-08,https://en.wikipedia.org/wiki/Biblical%20canon,1970-01
5,57,List of novelists by nationality,2002-08,https://en.wikipedia.org/wiki/List%20of%20novelists%20by%20nationality,1970-01
6,54,Lists of islands,2002-08,https://en.wikipedia.org/wiki/Lists%20of%20islands,1970-01
7,53,List of kennings,2002-08,https://en.wikipedia.org/wiki/List%20of%20kennings,1970-01
8,50,Apartheid,2002-08,https://en.wikipedia.org/wiki/Apartheid,1970-01
9,48,Jesus,2002-08,https://en.wikipedia.org/wiki/Jesus,1970-01
0,140,Lists of Canadians,2002-09,https://en.wikipedia.org/wiki/Lists%20of%20Canadians,1970-01
1,117,List of French people,2002-09,https://en.wikipedia.org/wiki/List%20of%20French%20people,1970-01
2,100,Zeus,2002-09,https://en.wikipedia.org/wiki/Zeus,1970-01
3,76,Jehovah's Witnesses,2002-09,https://en.wikipedia.org/wiki/Jehovah's%20Witnesses,1970-01
4,74,Heracles,2002-09,https://en.wikipedia.org/wiki/Heracles,1970-01
5,70,List of comedy television series,2002-09,https://en.wikipedia.org/wiki/List%20of%20comedy%20television%20series,1970-01
6,70,List of Germans,2002-09,https://en.wikipedia.org/wiki/List%20of%20Germans,1970-01
7,69,Situationist International,2002-09,https://en.wikipedia.org/wiki/Situationist%20International,1970-01
8,67,Genocide,2002-09,https://en.wikipedia.org/wiki/Genocide,1970-01
9,65,Central line (London Underground),2002-09,https://en.wikipedia.org/wiki/Central%20line%20(London%20Underground),1970-01
0,343,New Imperialism,2003-01,https://en.wikipedia.org/wiki/New%20Imperialism,1970-01
1,181,2003 in music,2003-01,https://en.wikipedia.org/wiki/2003%20in%20music,1970-01
2,130,Micronation,2003-01,https://en.wikipedia.org/wiki/Micronation,1970-01
3,117,Iraq disarmament crisis,2003-01,https://en.wikipedia.org/wiki/Iraq%20disarmament%20crisis,1970-01
4,111,Gene,2003-01,https://en.wikipedia.org/wiki/Gene,1970-01
5,91,Main Page,2003-01,https://en.wikipedia.org/wiki/Main%20Page,1970-01
6,83,Kosovo War,2003-01,https://en.wikipedia.org/wiki/Kosovo%20War,1970-01
7,80,Menachem Mendel Schneerson,2003-01,https://en.wikipedia.org/wiki/Menachem%20Mendel%20Schneerson,1970-01
8,77,Modal particle,2003-01,https://en.wikipedia.org/wiki/Modal%20particle,1970-01
9,77,Green party,2003-01,https://en.wikipedia.org/wiki/Green%20party,1970-01
0,306,SARS,2003-04,https://en.wikipedia.org/wiki/SARS,1970-01
